Year,NH_External,NH_Ingestional,NH_Inhalation,NH_Total,SH_External,SH_Ingestional,SH_Inhalation,SH_Total,WorldExternal,WorldIngestiona,WorldInhalation,WorldTotal
1945,0.25,0.27,0.12,0.64,0,0,0,0,0.22,0.24,0.10,0.57
1946,0.22,0.21,0.087,0.52,0,0,0,0,0.20,0.19,0.077,0.47
1947,0.042,0.025,0.0046,0.071,0,0,0,0,0.037,0.02,0.0041,0.06
1948,0.26,0.31,0.11,0.68,0,0,0,0,0.23,0.28,0.10,0.60
1949,0.077,0.10,0.027,0.21,0,0,0,0,0.068,0.09,0.024,0.19
1950,0.028,0.014,0.0016,0.043,0,0,0,0,0.025,0.01,0.0014,0.039
1951,1.50,1.90,0.72,4.12,0.0016,0.001,0.0014,0.0039,1.34,1.69,0.64,3.67
1952,1.65,2.02,0.80,4.48,0.082,0.15,0.032,0.27,1.48,1.81,0.72,4.01
1953,3.17,2.92,2.01,8.10,0.14,0.34,0.17,0.65,2.84,2.58,1.81,7.23
1954,5.88,7.17,4.95,18.0,1.14,1.35,1.28,3.77,5.36,6.53,4.55,16.4
1955,3.52,8.26,5.03,16.8,0.66,1.89,0.79,3.34,3.21,7.60,4.57,15.4
1956,8.40,14.0,5.76,28.2,1.83,3.03,1.15,6.01,7.67,12.8,5.26,25.8
1957,9.38,13.5,6.40,29.3,7.38,9.47,2.72,19.6,9.16,13.1,6.00,28.3
1958,24.2,27.7,13.2,65.2,7.82,8.15,2.99,19.0,22.4,25.6,12.1,60.1
1959,13.6,16.6,10.8,41.0,2.98,4.17,1.16,8.31,12.5,15.1,9.75,37.3
1960,5.26,12.6,2.30,20.2,0.97,3.45,0.76,5.18,4.79,11.7,2.13,18.6
1961,9.98,16.7,5.23,31.9,0.83,3.79,0.65,5.26,8.97,15.3,4.73,29.0
1962,39.6,50.0,26.5,116,25.3,25.5,8.16,59.0,38.1,47.3,24.5,110
1963,41.3,43.7,40.2,125,6.62,7.36,2.73,16.7,37.5,39.8,36.0,113
1964,18.3,42.3,15.6,76.2,2.14,8.32,2.02,12.5,16.6,38.6,14.1,69.3
1965,13.3,30.4,5.04,48.7,1.78,8.53,1.38,11.7,12.1,27.9,4.63,44.6
1966,10.9,21.8,2.07,34.8,3.25,9.11,1.24,13.6,10.1,20.4,1.98,32.5
1967,9.01,16.7,1.23,26.9,2.93,5.68,0.76,9.37,8.34,15.5,1.18,25.0
1968,7.66,14.6,1.42,23.7,3.03,4.84,1.15,9.02,7.15,13.6,1.39,22.1
1969,8.25,13.6,2.11,24.0,2.93,4.49,1.09,8.52,7.66,12.6,1.99,22.3
1970,7.77,12.7,2.38,22.9,3.88,5.62,1.53,11.0,7.35,11.9,2.28,21.5
1971,7.63,12.2,2.25,22.1,3.78,5.08,1.31,10.2,7.21,11.4,2.15,20.8
1972,7.21,11.2,1.00,19.4,2.39,4.21,0.59,7.19,6.68,10.4,0.96,18.1
1973,6.24,9.17,0.43,15.8,2.23,3.54,0.36,6.14,5.80,8.58,0.42,14.8
1974,6.53,9.27,1.16,17.0,3.22,4.08,0.69,7.98,6.17,8.73,1.11,16.0
1975,5.82,8.51,0.46,14.8,2.06,2.72,0.24,5.01,5.40,7.88,0.44,13.7
1976,5.95,7.97,0.41,14.3,1.43,2.47,0.093,4.00,5.45,7.37,0.37,13.2
1977,6.79,7.43,1.59,15.8,1.36,2.33,0.091,3.78,6.19,6.94,1.43,14.6
1978,5.64,7.39,0.79,13.8,1.32,2.20,0.072,3.59,5.16,6.85,0.71,12.7
1979,5.28,6.56,0.21,12.0,1.27,2.03,0.040,3.34,4.84,6.02,0.19,11.1
1980,5.54,6.46,0.41,12.4,1.24,1.92,0.036,3.20,5.07,5.93,0.37,11.4
1981,5.55,5.77,0.52,11.8,1.21,1.87,0.030,3.11,5.07,5.36,0.47,10.9
1982,4.78,5.41,0.083,10.3,1.18,1.81,0.022,3.01,4.39,4.97,0.076,9.43
1983,4.64,5.01,0.040,9.69,1.15,1.77,0.018,2.93,4.03,4.65,0.038,8.94
1984,4.51,4.79,0.060,9.36,1.12,1.72,0.010,2.85,3.93,4.41,0.055,8.60
1985,4.40,4.57,0.0087,8.98,1.10,1.68,0.005,2.78,3.84,4.26,0.008,8.30
1986,4.29,4.36,0.0006,8.65,1.07,1.64,0.0003,2.71,3.75,4.01,0.0006,7.94
1987,4.18,4.19,0.0003,8.38,1.05,1.62,0.0002,2.66,3.66,3.91,0.0002,7.75
1988,4.08,4.04,0,8.12,1.02,1.61,0,2.63,3.57,3.82,0,7.57
1989,3.99,3.90,0,7.89,1.00,1.60,0,2.60,3.49,3.63,0,7.29
1990,3.90,3.76,0,7.65,0.97,1.60,0,2.58,3.41,3.55,0,7.12
1991,3.81,3.63,0,7.43,0.95,1.61,0,2.56,3.33,3.38,0,6.87
1992,3.72,3.50,0,7.22,0.93,1.62,0,2.55,3.26,3.31,0,6.72
1993,3.63,3.37,0,7.01,0.91,1.63,0,2.54,3.18,3.14,0,6.48
1994,3.55,3.26,0,6.81,0.89,1.65,0,2.54,3.11,3.07,0,6.33
1995,3.47,3.14,0,6.61,0.87,1.68,0,2.55,3.04,3.01,0,6.20
1996,3.39,3.03,0,6.42,0.85,1.72,0,2.57,2.97,2.86,0,5.97
1997,3.31,2.92,0,6.23,0.83,1.76,0,2.59,2.90,2.81,0,5.85
1998,3.24,2.81,0,6.05,0.81,1.82,0,2.63,0.00,2.66,0,5.63
1999,3.16,2.71,0,5.87,0.79,1.89,0,2.68,0.00,2.61,0,5.51
